OPERADOR,ID OPERADOR,ID SERVICIO ORBYTA,CLIENTE/USO,DIRECCION,"CAPACIDAD(mbps)",ORDEN DE COMPRA,ESTA VIGENTE,MONEDA,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,FACTURA,NETO
CMET,ORB-1398-17,15-0102-022,AGROCOMERCIAL CODIGUA SPA,"RUTA 68 - KM 47,5 ( TALAGANTE) ",100,1394,NO,UF,,,,,6396,20,6503,20,6610,20.01,6717,20,6846,20.04,6938,20,7044,16,7093,20.01,7185,20.01,7274,20,7349,20.01,7420,20,7534,20,7600,20,7717,20,7745,20,7861,20,,,,,,,,,,,,,,,,,,,,,,,,
CMET,CODEGUA-1728-18,18-0002-007,Hotel La Leonera SPA,Camino La Leonera SN,100,1574,NO,UF,,,,,6397,14.3,6504,14.3,6611,14.3,6734,14.3,6845,14.3,6944,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARO,02-25-0010047854,13-0012-009,Orbyta Nodo ENV,Av el Condor 844,100,1149,SI,UF,,6.1,13173734,6.1,13181181,6.1,13188424,6.1,13195738,6.1,13356832,6.1,13364177,6.1,13371416,6.1,13378619,6.1,13586008,6.1,13593097,6.1,13600135,6.1,13830817,6.1,13837781,6.1,13844769,6.1,13851710,6.1,14020342,6.1,14027254,6.1,14034243,6.1,14041209,6.1,14407670,6.1,14414674,6.1,14421586,6.1,14428479,6.1,14635480,6.1,14642620,6.1,14649638,6.1,14656417,6.1,14953230,6.1,,,,
CLARO,02-25-0010229243,18-0127-004,YOLITO BALART HERMANOS LIMITADA,Av San Martin 6800,100,1692,NO,UF,,7.98,13173734,7.98,13181181,7.98,13188424,7.98,13195738,7.98,13356832,7.98,13364177,7.97,13371416,7.98,13378619,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARO,02-25-0010229273,18-0127-007,YOLITO BALART HERMANOS LIMITADA,Antillanca 510,100,1693,en baja,UF,,7.98,13173734,7.98,13181181,7.98,13188424,7.98,13195738,7.98,13356832,7.98,13364177,7.97,13371416,7.98,13378619,7.98,13586008,7.98,13593097,7.98,13600135,7.9,13830817,7.98,13837781,7.96,13844769,7.95,13851710,7.96,14020342,8,14027254,8,14034243,8,14041209,8,14407670,8,14414674,8,14421586,8,14428479,8,14635480,8,14642620,8,14649638,8,14656417,7.98,14953230,8,,,,
GTD,EnMPLSFO_010230374,19-0065-005,TNS Chile Technetsecurity S.A,Alvarez de Toledo 742,1000,2165,NO,UF,,,,,1226688,9.2,1231821,9.2,1237191,9.2,1242187,9.2,1244514,9.2,1252333,9.2,1257702,9.2,1262808,9.2,1265594,9.2,1270606,9.2,1276648,9.2,1284212,9.2,1289511,9.2,1293129,9.2,1300736,9.2,1305945,9.2,1308851,9.2,1314227,9.2,1321694,-32.76,1327012,0,,,,,,,,,,,,,,,,,,
GTD,EnMPLSFO_010361088,18-0127-034,Yolito,"ANTILLANCA 510,QUILICURA,SANTIAGO",100,2819,SI,UF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303560,0,1305945,6.1,1308851,6.1,1314227,6.1,1321694,6.1,1327012,6.1,1332141,6.1,1335341,6.1,1342754,6.1,1346829,6.11,1351750,6.1,1357190,6.1,1362260,6.1,14656417,6.1,1372608,6.1
GTD,EnMPLSFO_010212165,16-0001-010,Tecnologías Móviles Movilgo SPA,Av del Valle 928,100,2058,NO,UF,,,,,1228473,6.7,1233872,6.7,1238354,6.7,1243236,6.7,1248971,6.7,1254204,6.7,1259087,6.7,1264624,6.7,1269231,6.7,1275295,6.7,1280886,6.7,1286230,6.7,1292061,6.7,1297466,6.7,1302480,6.7,1307744,6.7,1313148,6.7,,,,,,,,,,,,,,,,,,,,,,,,
GTD,RedPriv_010378649 (EnMPLSFO_010361097),13-0012-282,Nodo Parque Oriente,"AVENIDA ALONSO DE CORDOVA 5320 -2,LAS CONDES,SANTIAGO",200,2895,SI,UF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298339,18.2,1300736,9.9,1305945,9.9,1308851,9.9,1314227,9.9,1321694,9.9,1327012,9.9,1332141,9.9,1335341,9.9,1342754,9.9,1346829,9.9,1351750,9.9,1357190,9.9,1362260,9.9,14656417,9.9,1372608,9.9
GTD,EnMPLSFO_010254529,18-0378-017,Soluciones Tecnológicas Primetec Limitada,"AVENIDA ALONSO DE CORDOVA 5870 18,LAS CONDES,SANTIAGO",20,2206,SI,UF,,,,,1226688,4,1231821,4,1237191,4,1242187,4,1244514,4,1252333,4,1257702,4,1262808,4,1265594,4,1270606,4,1276648,4,1284212,4,1289511,4,1293129,4,1300736,4,1305945,4,1308851,4,1314227,4,1321694,4,1327012,4,1332141,4,1335341,4,1342754,4,1346829,4,1351750,4,1357190,4,1362260,4,14656417,4,1372608,4
GTD,EnMPLSFO_010359792,21-0162-002,IMPORTADORA Y COMERCIALIZADORA STYLO SPA,"AVENIDA AMERICO VESPUCIO 3000 9,CERRILLOS,SANTIAGO",100,2707,SI,UF,,,,,,,,,,,,,,,,,,,1265347,12.2,1265594,6,1270606,6,1276648,6,1284212,6,1289511,6,1293129,6,1300736,6,1305945,6,1308851,6,1314227,6,1321694,6,1327012,6,1332141,6,1335341,6,1342754,6,1346829,6,1351750,6,1357190,6,1362260,6,14656417,6,1372608,6
CLARO,02-25-0010251159,17-0214-017,Televisión Nacional de Chile,Bulnes km 3.5 Punta Arenas,50,1839,SI,UF,,6.8,13173734,6.8,13181181,6.8,13188424,6.8,13195738,6.8,13356832,6.8,13364177,6.8,13371416,6.8,13378619,6.8,13586008,6.8,13593097,6.8,13600135,6.8,13830817,6.8,13837781,6.8,13844769,6.7,13851710,6.78,14020342,6.8,14027254,6.8,14034243,6.8,14041209,6.8,14407670,6.8,14414674,6.8,14421586,6.8,14428479,6.8,14635480,6.8,14642620,6.8,14649638,6.8,14656417,6.8,14953230,6.8,,,,
ENTEL,10000182156,12-0013-092,COLEGIOS DUNALASTAIR VALLE NORTE S.A.,Valle Alegre 225,100,1500,SI,UF,,,,6.7,17608095,6.7,"17663201",6.7,17714499,6.7,17768872,6.7,17823836,6.7,17879154,6.7,17953361,6.7,18008672,6.7,18047299,6.7,18123630,6.7,18183303,6.7,18226050,6.7,18283989,6.7,18346634,6.7,18403789,6.7,18465213,6.7,18543504,6.7,18630119,6.7,18671967,6.7,18731482,6.7,18794008,6.7,18839347,6.7,18919648,6.7,18996840,6.7,19047133,6.7,19137376,6.7,19162082,6.7,19223788,6.7,,
NETGLOBALIS,,16-0001-009,Tecnologías Móviles Movilgo SPA,Aumento VPS/29 - 12 Meses [0.45 UF],,2158,En Baja,UF,,,,,131627,0.45,132086,0.45,132493,0.45,132944,0.45,133401,0.45,133864,0.45,134350,8.6,134839,0.45,135320,0.45,135806,0.45,136244,0.45,136684,0.45,137118,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETGLOBALIS,,16-0001-009,Tecnologías Móviles Movilgo SPA,Servidor Privado Virtual [8.60 UF],,2057,En Baja,UF,,,,,131627,8.6,132086,8.6,132493,8.6,132944,8.6,133401,8.6,133864,8.61,134350,0.45,134839,8.6,135320,8.6,135806,8.6,136244,8.61,136684,8.64,137118,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETGLOBALIS,,16-0001-012,Tecnologías Móviles Movilgo SPA,VPS SITE EXTERNO - 12 Meses [1.70 UF],,2127,En Baja,UF,,,,,131641,1.7,132100,1.7,132507,1.7,132957,1.7,133413,1.7,133876,1.7,134362,1.7,134851,1.7,135332,1.7,135817,1.7,136254,1.7,136692,1.71,137126,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETLAND,3204,21-0099-004,PROMET MONTAJES SPA,Las Tortolas Cuarta Faena,50,2396,NO,UF,,,,,187425,24,188168,24,189186,24,189678,24,190648,24,191436,24,191827,18.85,192512,24,193202,24,193895,24,194549,24,195409,24,196034,24,196587,15.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETLAND,3203,21-0045-001,EMPRESA CONSTRUCTORA AGUA SANTA,Las tortolas Tercera Faena,20,2390,NO,UF,,,,,187424,14,188169,14,189187,14,189677,14,190647,14,191435,14,191826,8.87,192511,14,193201,14,193894,14,194548,14,195408,14,196033,14,196586,14,197272,13.99,197806,14,198340,14,198859,14,199369,14,199820,14,200316,14,200758,14,201217,14,201659,14,202378,14,,,,,,,,
NETLAND,3086,13-0006-036,CONSTRUCTORA EXCON,Las Tortolas,50,2203,NO,UF,,,,,187422,25,188167,25,189185,25,189675,25,190645,25,191433,25,191824,19.79,192509,25,193199,25,193892,25,194546,25,195406,25,196031,25,196584,10.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETLAND,110422,18-0002-038,Hotel La Leonera SPA,Camino La Leonera SN,100,2637,SI,UF,,,,,,,,,,,,,190710,74.8,191437,31,191828,31,192513,31,193203,31,193896,31,194550,31,195410,31,196970,24.8,196970,24.8,197462,24.94,197986,25,198518,24.97,199045,24.96,199544,25,200059,25,200317,25,200759,25,201218,25,201660,25,202379,25,202911,25,203331,25,203720,25,204119,25
CLARO,02-25-0010251160,17-0214-016,Televisión Nacional de Chile,Luis Durand 0368 Temuco,50,1839,SI,UF,,6.3,13173734,6.3,13181181,6.3,13188424,6.3,13195738,6.3,13356832,6.3,13364177,6.3,13371416,6.3,13378619,6.3,13586008,6.3,13593097,6.3,13600135,6.3,13830817,6.3,13837781,6.3,13844769,6.3,13851710,6.3,14020342,6.3,14027254,6.3,14034243,6.3,14041209,6.3,14407670,6.3,14414674,6.3,14421586,6.3,14428479,6.3,14635480,6.3,14642620,6.3,14649638,6.3,14656417,6.3,14953230,6.3,,,,
CLARO,02-25-0010251161,17-0214-015,Televisión Nacional de Chile,Vasco Nuñes de Balboa 6950 Concepcion,50,1839,SI,UF,,6.3,13173734,6.3,13181181,6.3,13188424,6.3,13195738,6.3,13356832,6.3,13364177,6.3,13371416,6.3,13378619,6.3,13586008,6.3,13593097,6.3,13600135,6.3,13830817,6.3,13837781,6.3,13844769,6.3,13851710,6.3,14020342,6.3,14027254,6.3,14034243,6.3,14041209,6.3,14407670,6.3,14414674,6.3,14421586,6.3,14428479,6.3,14635480,6.3,14642620,6.3,14649638,6.3,14656417,6.3,14953230,6.3,,,,
