"operador","id-operador","id-servicio-orbyta","cliente/uso","direccion","capacidad","order-de-compra","esta-vigente","moneda"
"CLARO","02-25-0010047854","13-0012-009","Orbyta Nodo ENV","Av el Condor 844",100,1149,"SI","UF"
"GTD","EnMPLSFO_010361088","18-0127-034","Yolito","ANTILLANCA 510,QUILICURA,SANTIAGO",100,2819,"SI","UF"
"GTD"," RedPriv_010378649 (EnMPLSFO_010361097)","13-0012-282","Nodo Parque Oriente","AVENIDA ALONSO DE CORDOVA 5320 -2,LAS CONDES,SANTIAGO",200,2895,"SI","UF"
"GTD","EnMPLSFO_010254529","18-0378-017","Soluciones Tecnológicas Primetec Limitada","AVENIDA ALONSO DE CORDOVA 5870 18,LAS CONDES,SANTIAGO",20,2206,"SI","UF"
"GTD","EnMPLSFO_010359792","21-0162-002","IMPORTADORA Y COMERCIALIZADORA STYLO SPA","AVENIDA AMERICO VESPUCIO 3000 9,CERRILLOS,SANTIAGO",100,2707,"SI","UF"
"CLARO","02-25-0010251159","17-0214-017","Televisión Nacional de Chile","Bulnes km 3.5 Punta Arenas",50,1839,"SI","UF"
"ENTEL",10000182156,"12-0013-092","COLEGIOS DUNALASTAIR VALLE NORTE S.A. ","Valle Alegre 225",100,1500,"SI","UF"
"NETLAND",110422,"18-0002-038","Hotel La Leonera SPA ","Camino La Leonera SN",100,2637,"SI","UF"
"CLARO","02-25-0010251160","17-0214-016","Televisión Nacional de Chile","Luis Durand 0368 Temuco",50,1839,"SI","UF"
"CLARO","02-25-0010251161","17-0214-015","Televisión Nacional de Chile","Vasco Nuñes de Balboa 6950 Concepcion",50,1839,"SI","UF"
"CLARO","02-25-0010251162","17-0214-014","Televisión Nacional de Chile","5 Norte 820 Talca",50,1839,"SI","UF"
"CLARO","02-25-0010251163","17-0214-013","Televisión Nacional de Chile","Cachapoal 1320 Rancagua",50,1839,"SI","UF"
"CLARO","02-25-0010251164","17-0214-012","Televisión Nacional de Chile","Vista Hermosa 247 Viña del Mar",50,1839,"SI","UF"
"PIT CHILE",,,"Orbyta","Puerta Pit Chile en IFX El Bosque 10G",,2588,"SI","UF"
"ENTEL",10000182636,"12-0013-093","COLEGIOS DUNALASTAIR VALLE NORTE S.A. ","Av Las Condes 11931",100,1501,"SI","UF"
"ENTEL",10000184160,"12-0013-094","COLEGIOS DUNALASTAIR VALLE NORTE S.A. ","Quilin 8669",100,1502,"SI","UF"
"UFINET","CLCLORB10000001I","19-0324-027","BPO Advisors SpA","Intenet 100/30 Mbps Av del valle 928 (1:4). 5 IP Disponibles [6.80 UFF]",,2222,"SI","UF"
"ENTEL",10000200707,"13-0012-106","Orbyta Nodo Ioffice","Almirante Pastene 185",100,350,"SI","UF"
"CLARO","02-25-0010251165","17-0214-011","Televisión Nacional de Chile","Francisco de Aguirre 550 La Serena",50,1839,"SI","UF"
"CLARO","02-25-0010251166","17-0214-010","Televisión Nacional de Chile","Henriquez 393 Copiapo",50,1839,"SI","UF"
"CLARO","02-25-0010251167","17-0214-019","Televisión Nacional de Chile","Tarapaca 2118 Calama",50,1839,"SI","UF"
"CLARO","02-25-0010343442","21-0176-003","Inversiones Ipcom Chile Limitada","IPCOM",100,2482,"SI","UF"
"CLARO","15-02-0010076648",,"Orbyta Trama SS7","Servicio telefonico",,,"SI","UF"
"CLARO","15-02-0010152440",,"Orbyta Trama SS7","Servicio telefonico",,,"SI","UF"
"CLARO","15-02-0010160498",,"Orbyta Trama SS7","Servicio telefonico",,,"SI","UF"
"CLARO","15-02-0010341775",,"Orbyta Trama E1 Pri","Servicio telefonico",,2450,"SI","UF"
"CLARO","15-02-0010341777",,"Orbyta Trama E1 Pri","Servicio telefonico",,2450,"SI","UF"
"CLARO","15-02-0010341778",,"Orbyta Trama E1 Pri","Servicio telefonico",,2450,"SI","UF"
"ENTEL",10000257917,"13-0012-088","Orbyta Nodo Los Abedules","Los Abedules 3085",100,765,"SI","UF"
"ENTEL",10000257933,"13-0012-104","Orbyta Nodo Workennedy","Av Kennedy 5600",100,498,"SI","UF"
"ENTEL",10000265034,"13-0006-034","CONSTRUCTORA EXCON S.A","Faena Toconao, Salar de Atacama",40,"909/922","SI","UF"
"ENTEL",10000307254,"12-0019-060","FUENZALIDA PROPIEDADES SANTIAGO S.A.","JOSE ALCALDE DELANO 12486",4,814,"SI","UF"
"ENTEL",10000341398,"15-0102-045","Agrocomercial Codigua (La Vaquita)","Av Providencia 1208",100,"1199/1457","SI","UF"
"ENTEL",10000349374,"17-0002-004","ASOCIACIÓN DE EXPORTADORES DE FRUTAS DE CHILE (ASOEX CABRERO)","Ruta 5 sur K, 458,5 ",10,1253,"SI","UF"
"ENTEL",10000370579,"19-0340-048","Servicios Médicos Dial S.A","Providencia 2633",40,2557,"SI","UF"
"ENTEL",10000371085,"17-0026-006","NETSECURE INFORMATICA S.A. (CORONA)","Providencia 655",100,2281,"SI","UF"
