operador,id-operador
CLARO,02-25-0010047854
GTD,EnMPLSFO_010361088
GTD, RedPriv_010378649 (EnMPLSFO_010361097)
GTD,EnMPLSFO_010254529
GTD,EnMPLSFO_010359792
CLARO,02-25-0010251159
ENTEL,10000182156                                  
NETLAND,110422                                       
CLARO,02-25-0010251160
CLARO,02-25-0010251161
CLARO,02-25-0010251162
CLARO,02-25-0010251163
CLARO,02-25-0010251164
PIT CHILE,                                             
ENTEL,10000182636                                  
ENTEL,10000184160                                  
UFINET,CLCLORB10000001I
ENTEL,10000200707                                  
CLARO,02-25-0010251165
CLARO,02-25-0010251166
CLARO,02-25-0010251167
CLARO,02-25-0010343442
CLARO,15-02-0010076648
CLARO,15-02-0010152440
CLARO,15-02-0010160498
CLARO,15-02-0010341775
CLARO,15-02-0010341777
CLARO,15-02-0010341778
ENTEL,10000257917                                  
ENTEL,10000257933                                  
ENTEL,10000265034                                  
ENTEL,10000307254                                  
ENTEL,10000341398                                  
ENTEL,10000349374                                  
ENTEL,10000370579                                  
ENTEL,10000371085                                  
ENTEL,10000382575                                  
TELEFONICA,LLAORB13900
ENTEL,10000405664                                  
TELEFONICA,LLAORB14268
ENTEL,10000433739                                  
TELEFONICA,LLAORB14471
TELEFONICA,LLAORB15623
ENTEL,10000436039                                  
ENTEL,10000471803                                  
ENTEL,10000471812                                  
ENTEL,10000471853                                  
ENTEL,10000472312                                  
TELEFONICA,LLAORB15641
ENTEL,10000475341                                  
ENTEL,10000512867                                  
MOVISTAR LD,LLAMOV10703
PARALLEL,                                             
TELEFONICA,LLAORB15651
TELEFONICA, NAP201110069
TELEFONICA,C596712
TELEFONICA,C845951
TELEFONICA,C968381
TELEFONICA,LLAMOV10704
TELEFONICA,LLAORB10717
TELEFONICA,LLAORB10770
TELEFONICA,LLAORB10951
TELEFONICA,LLAORB11447
TELEFONICA,LLAORB11711
TELEFONICA,LLAORB11735
TELEFONICA,LLAORB12137
TELEFONICA,LLAORB12537
TELEFONICA,LLAORB13177
TELEFONICA,LLAORB13336
TELEFONICA,LLAORB13646
TELEFONICA,LLAORB13700
TELEFONICA,LLAORB14470
TELEFONICA,LLAORB14948
TELEFONICA,LLAORB15268
TELEFONICA,LLAORB15482
TELEFONICA,LLAORB15647
TELEFONICA,LLAORB15855
TELEFONICA,LLAORB16234
TELEFONICA,LLAORB16626
TELEFONICA,LLAORB16692
TELEFONICA,LLAORB16845
TELEFONICA,LLAORB16916
TELEFONICA,LLAORB16917
TELEFONICA,LLAORB16948
TELEFONICA,LLAORB17184
TELEFONICA,LLAORB17246
TELEFONICA,LLAORB17646
TELEFONICA,LLAORB17790
TELEFONICA,LLAORB17791
TELEFONICA,LLAORB17792
TELEFONICA,LLAORB17794
TELEFONICA,LLAORB17841
TELEFONICA,LLAORB17913
TELEFONICA,LLAORB18017
TELEFONICA,LLAORB18026
TELEFONICA,LLAORB18036
ENTEL,10000552534                                  
ENTEL,10000552535                                  
TELEFONICA,LLAORB18054
ENTEL,10000580858                                  
ENTEL,10000580872                                  
ENTEL,10000593161                                  
ENTEL,10000620805                                  
TELEFONICA,LLAORB18243
TELEFONICA,LLAORB18246
TELEFONICA,LLAORB18270
TELEFONICA,LLAORB18289
TELEFONICA,LLAORB18328
TELEFONICA,LLAORB18329
TELEFONICA,LLAORB18386
GTD,EnMPLSFO_010361961
NETLINE AIR SPA,AIR-761993798-05
NETLINE AIR SPA,AIR-761993798-07
NETLINE AIR SPA,AIR-761993798-06
NETLINE AIR SPA,AIR-761993798-04
Grupo ZGH,                                             
GTD, EnMPLSFO_010372516
ENTEL,10000627358                                  
ENTEL,10000632095                                  
CLARO,15-02-0010341779
CLARO,20-03-0010248212
ENTEL,10000637001                                  
ENTEL,10000646727                                  
ENTEL,10000642870
ENTEL,10000192126                                  
ENTEL,10000299842                                  
ENTEL,10000300101                                  
TELEFONICA,LLAORB18391
TELEFONICA,LLAORB18395
TELEFONICA,LLAORB18408
TELEFONICA,LLAORB18423
ENTEL,10000309159                                  
ENTEL,10000311063                                  
TELEFONICA,LLAORB18573
TELEFONICA,LLAORB18589
TELEFONICA,LLAORB18695
TELEFONICA,LLAORB18766
TELEFONICA,LLAORB18884
TELEFONICA,LLAORB19569
UFINET,CLCLORB10060672C
STARLINK,01-ACC-1068952-59714-22 / KIT00223230
STARLINK,01-ACC-1068952-59714-22 / KIT301415794
STARLINK,01-ACC-1068952-59714-22 / KIT301415789
STARLINK,01-ACC-1068952-59714-22 / KIT301415792
STARLINK,01-ACC-1068952-59714-22 /KIT302686478
STARLINK,02-ACC-1163753-92437-16 / KIT00266458
STARLINK,03-ACC-1163817-85522-14 / KIT00266451
STARLINK,04-ACC-1170292-90048-8 / KIT303238325
STARLINK,04-ACC-1170292-90048-8 / KIT303238319
STARLINK,04-ACC-1170292-90048-8 / KIT303238454
STARLINK,04-ACC-1170292-90048-8 / KIT303238460
STARLINK,05-ACC-1170312-49972-11 / KIT00266289
STARLINK,05-ACC-1170312-49972-11 / KIT301415873
STARLINK,05-ACC-1170312-49972-11 / KIT301415860
